Calamagrostis ×acutiflora
×Schombolaelia gouldiana
Abelai ×grandiflora
Abelia ×grandiflora
Abelia ×edward-goucher
Abelia ×gradiflora
Abies ×insignis
Abies ×shastensis
Abies ×borisii-regis
Abies ×boris-regisii
Abies ×masjoanis
Abies ×vilmorinii
Abutilon ×hybridum
Abutilon ×um
Acacia ×giraffae
Acacia ×grayana
Acacia ×hanburyana
Acaena ×anserovina
Acaena ×ovina
Acer ×freemanii
Acer ×dieckii
Acer ×durettii
Acer ×pseudoheldreichii
Acer ×schwerinii
Achicodonia ×hybrid
Achillea ×jaborneggii
Achillea ×'Taygetea'
Achillea ×intermedia
Achillea ×kolbiana
Achillea ×latifolia
Achillea ×lewisii
Achimenes ×hybrid
Achnatherum ×bloomeri
Aconitum ×stoerkianum
Aconitum ×austriacum
Aconitum ×baumgartenianum
Aconitum ×berdaui
Aconitum ×cammarum
Aconitum ×czarnohorense
Aconitum ×hebegynum
Aconitum ×intermedium
Aconitum ×mielichhoferi
Aconitum ×pawlowskii
Aconitum ×pilipes
Aconitum ×platanifolium
Aconitum ×stoerckianum
Aconitum ×stoerkinaum
Aconogonon ×fennicum
Actaea ×ludovici
Adenanthos ×cunninghamii
Adenanthos ×pamela
Adenophorus ×abbottiae
Adenophorus ×carsonii
Adiantopsis ×australopedata
Adiantum ×ailaoshanense
Adiantum ×tracyi
Adiantum ×variopinnatum
Adonis ×walziana
Aegilops ×speltiformis
Aegilops ×cylindrica
Aegilops ×triticoides
Aegilops ×Triticum
Aeonium ×hybridum
Aerides ×pussadi
Aeschynanthus ×hybrid
Aeschynanthus ×splendidus
Aesculus ×bushii
Aesculus ×carnea
Aesculus ×arnoldiana
Aesculus ×hybrida
Aesculus ×marylandica
Aesculus ×mississippiensis
Aesculus ×mutabilis
Aesculus ×neglecta
Aesculus ×octandra
Aesculus ×pavia
Aesculus ×woerlitzensis
Agave ×madrensis
Agave ×ajoensis
Agave ×arizonica
Agave ×glomeruliflora
Agave ×leopoldii
Aglaomorpha ×leporella
Agoseris ×dasycarpa
Agoseris ×elata
Agoseris ×montana
Agropyron ×Elymus
Agropyron ×oliveri
Agropyron ×repens
Agropyron ×subjunceum
Agropyron ×subrepens
Agropyron ×Triticum
Agrostis ×capillaris
Agrostis ×fouilladei
Agrostis ×murbeckii
Agrostis ×tenuis
Ajuga ×hybrida
Ajuga ×mixta
Ajuga ×tenuicaulis
Akebia ×pentaphylla
Alchemilla ×splendens
Alchemilla ×cuneata
Aletris ×tottenii
Allium ×proliferum
Allium ×agarmyschicum
Allium ×cepiforme
Alnus ×mayrii
Alnus ×pubescens
Alocasia ×amazonica
Alocasia ×okinawensis
Alocasia ×portodora
Aloe ×commutata
Aloe ×cyanea
Aloe ×delaetii
Aloe ×laetecoccinea
Aloe ×lapaixii
Aloe ×schoenlandii
Aloe ×spinosissima
Aloe ×varvarii
Alopecurus ×brachystylus
Alopecurus ×haussknechtianus
Alopecurus ×hybridus
Alsophila ×Nephelea
Alstroemeria ×hybrida
Amaranthus ×texensis
Amaranthus ×adulterinus
Amaranthus ×hybridus
Amaranthus ×ozanonii
Amaranthus ×palmeri
Amaranthus ×parodii
